address,uniswap,label,verified
0x1f98431c8ad98523631ae4a59f267346ea31f984,True,Uniswap V3: Factory,True
0x1f98415757620b543a52e61c46b32eb19261f984,True,Uniswap V3: Multicall,True
0x5ba1e12693dc8f9c48aad8770482f4739beed696,True,Uniswap V3: Multicall 2,True
0xb753548f6e010e7e680ba186f9ca1bdab2e90cf2,True,Uniswap V3: Proxy Admin,True
0xbfd8137f7d1516d3ea5ca83523914859ec47f573,True,Uniswap V3: Tick Lens,True
0xb27308f9f90d607463bb33ea1bebb41c27ce5ab6,True,Uniswap V3: Quoter,True
0xe592427a0aece92de3edee1f18e0157c05861564,True,Uniswap V3: Router,True
0x42b24a95702b9986e82d421cc3568932790a48ec,True,Uniswap V3: NFT Descriptor,True
0x91ae842a5ffd8d12023116943e72a606179294f3,True,Uniswap V3: LP Descriptor NFT,True
0xee6a57ec80ea46401049e92587e52f5ec1c24785,True,Uniswap V3: Transparent Upgradeable Proxy,True
0xc36442b4a4522e871399cd717abdd847ab11fe88,True,Uniswap V3: Positions NFT,True
0xa5644e29708357803b5a882d272c41cc0df92b34,True,Uniswap V3:  Migrator,True
0x61ffe014ba17989e743c5f6cb21bf9697530b21e,True,Uniswap: Quoter V2,True
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,True,Uniswap V3: Router 2,True
0x000000000022d473030f116ddee9f6b43ac78ba3,True,Uniswap Protocol: Permit2,True
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,True,Uniswap V4: Universal Router,True
0xe34139463ba50bd61336e0c446bd8c0867c6fe65,True,Uniswap V3: Staker 1.0.2,True
0x000000000004444c5dc75cb358380d2e3de08a90,True,Uniswap V4: Pool Manager,True
0xd1428ba554f4c8450b763a0b2040a4935c63f06c,True,Uniswap V4: Position Descriptor,True
0xbd216513d74c8cf14cf4747e6aaa6420ff64ee9e,True,Uniswap V4: Position Manager,True
0x52f0e24d1c21c8a0cb1e5a5dd6198556bd9e1203,True,Uniswap V4: Quoter,True
0x7ffe42c4a5deea5b0fec41c94c136cf115597227,True,Uniswap V4: State View,True
0x00000011f84b9aa48e5f8aa8b9897600006289be,True,Dutch Order Reactor V2,True
0x6000da47483062a0d734ba3dc7576ce6a0b645c4,True,Dutch Order Reactor,True
0x54539967a06fc0e3c3ed0ee320eb67362d13c5ff,True,OrderQuoter,True
0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,True,Uniswap V2: Factory Contract,True
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,True,Uniswap V2: Router 2,True
0xf164fc0ec4e93095b804a4795bbe1e041497b92a,True,Uniswap V2: Router,True
0xc0a47dfe034b400b47bdad5fecda2621de6c4d95,True,Uniswap: Factory Contract,True
0x53a328f4086d7c0f1fa19e594c9b842125263026,True,GovernorBravoDelegator,True
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,True,Uniswap Protocol: UNI token,True
0x1a9c8182c09f50c8318d769245bea52c32be35bc,True,Uniswap V2: UNI Timelock,True
0x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,True,Uniswap V2: UNI Governance Contract,True
0xc4e172459f1e7939d522503b81afaac1014ce6f6,True,Uniswap: Governor Alpha,True
0x408ed6354d4973f66138c91495f2f2fcbd8724c3,True,Uniswap: Governor Bravo,True
0x090d4613473dee047c3f2706764f49e0821d256e,True,Uniswap: Token Distributor,True
0x3032ab3fa8c01d786d29dade018d7f2017918e12,True,Staking Rewards Factory,True
0x6c3e4cb2e96b01f4b866965a91ed4437839a121a,True,Uniswap V2: ETH/USDT UNI Pool,True
0x7fba4b8dc5e7616e59622806932dbea72537a56b,True,Uniswap V2: ETH/USDC UNI Pool,True
0xa1484c3aa22a66c62b77e0ae78e15258bd0cb711,True,Uniswap V2: ETH/DAI UNI Pool,True
0xca35e32e7926b96a9988f61d510e038108d8068e,True,Uniswap V2: ETH/WBTC UNI Pool,True
0x4750c43867ef5f89869132eccf19b9b6c4286e1a,True,Uniswap Protocol: Treasury Vester 1,True
0xe3953d9d317b834592ab58ab2c7a6ad22b54075d,True,Uniswap Protocol: Treasury Vester 2,True
0x4b4e140d1f131fdad6fb59c13af796fd194e4135,True,Uniswap Protocol: Treasury Vester 3,True
0x3d30b1ab88d487b0f3061f40de76845bec3f1e94,True,Uniswap Protocol: Treasury Vester 4,True
0x18e433c7bf8a2e1d0197ce5d8f9afada1a771360,True,FeeToSetter,True
0xdaf819c2437a82f9e01f6586207ebf961a7f0970,True,FeeTo,True
0x1f98407aab862cddef78ed252d6f557aa5b0f00d,False,Uniswap V3: Staker,True
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,False,Circle: USDC Token,True
0xdac17f958d2ee523a2206206994597c13d831ec7,False,Tether: USDT Stablecoin,True
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,Wrapped Ether,True
0xa0c68c638235ee32657e8f720a23cec1bfc77c77,False,Polygon (Matic): Bridge,True
0x0b9857ae2d4a3dbe74ffe1d7df045bb7f96e4840,False,Arbitrum: Outbox 4,True
0xfad354f8364d728e63a9c431cae3a33940d546c2,False,Uniswap V2: ATT 7,True
0xe98e3436411ad83a2ce2be06bdec32fa1209f75f,False,Uniswap V2: GTD 6,True
0x2170d67ddd13058b19c70ff3c60f1765be903f3e,False,Uniswap V2: POWELL 5,True
0xd4b4f6aceda96294bf52f126acadfb3190676ae5,False,Uniswap V3: TIME 7,True
0x510b6665004a9393d56868461b93ba8134e04478,False,Uniswap V3: FROG 9,True
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,False,Uniswap V3: USDC 3,True
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,False,Uniswap V2: USDT,True
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,False,Uniswap V2: USDC,True
0xd3d2e2692501a5c9ca623199d38826e513033a17,False,Uniswap V2: UNI 6,True
0x102c776ddb30c754ded4fdcc77a19230a60d4e4f,False,Flooring Lab: FLC Token,True
0x01a8227d4e7c3068ad1000c97a059af5c5fa3476,False,Uniswap V3: FLC 2,True
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,False,Wrapped BTC: WBTC Token,True
0x6982508145454ce325ddbe47a25d4ec3d2311933,False,Pepe: PEPE Token,True
0xfbeedcfe378866dab6abbafd8b2986f5c1768737,False,MEV Bot: 0xfbe…737,False
0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,False,Optimism: Cross Domain Messenger,True
0x7cb0518cb97eb771acf1efa4dbd3c614f346f958,False,Uniswap V2: SORA 39,True
0xc111c9405af3a0b840e27a02fc19a3c0ed1f93a2,False,Uniswap V2: $BANK 5,True
0xb8ec9546c6adaeff4f815ac970fc07b6ded4a69e,False,Uniswap V2: BORZOI 10,True
0xd9a76125bcc5c76a9b4fd155cc3dc7d3f48b47eb,False,Uniswap V2: xAI 55,True
0x550061633888d3b811213304b98ede045289c5ce,False,Uniswap V2: LOYAL 3,True
0x77d5f03822f94b39ad6117f6a46761ec5879031b,False,MEV Bot: 0x77d...31b,False
0xe1903edc010d0e55f9eb7b250246da3b6e0192bd,False,Uniswap V3: P404 2,True
0x90205cbe0fd139b6804a3a452d2e1bee96404fb3,False,Uniswap V3: REWARD,True
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,False,Uniswap V3: USDC 2,True
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,False,Uniswap V3: WBTC,True
0x19fe9857bb3652e9007f2347a1f877ffa9215f7f,False,Uniswap V3: FLC 4,True
0x8fe199d58ebbec1c9c8dc45c9961ce3ac33e939c,False,Uniswap V3: AZUR 4,True
0x11b815efb8f581194ae79006d24e0d814b7697f6,False,Uniswap V3: USDT 3,True
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,False,Ondo Finance: ONDO Token,True
0x6b175474e89094c44da98b954eedeac495271d0f,False,Sky: Dai Stablecoin,True
0x423f4e6138e475d85cf7ea071ac92097ed631eea,False,Pond Coin: PNDC Token,True
0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,False,HarryPotterObamaSonic10Inu: BITCOIN Token,True
0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,False,Mog Coin: Mog Token,True
0xf32e58f92e60f4b0a37a69b95d642a471365eae8,False,Pendle: PT-eETH-27JUN24 /SY-weETH Market Token,True
0xe957ea0b072910f508dd2009f4acb7238c308e29,False,Ethcoin: ETHC Token,True
0x91372c449d512d444acfa8d53b4338919b0a270c,False,Uniswap V2: WIFU,True
0xc1a0d05748178c31efefe2a8a321b1f2b1eccd46,False,Uniswap V2: TRFY,True
0x5e468d3b4204e1cd33b94eb2148de3f18dff820b,False,Uniswap V2: HyperSpace,True
0xc10e6661ce2ae620a9188ad35b8260d6e7a2dee9,False,Uniswap V2: TEST 287,True
0x2d3cd3634fa483fc23f86eac527dc383d054408e,False,Uniswap V2: GOLDENDOG2.0,True
0xa1f4be1ad7233f8c4c843f326e631cecad0b620c,False,Uniswap V2: BRETT 7,True
0xb40309b525e5595d324401fe1401a2d4850937e9,False,Uniswap V2: Kevin 16,True
0xd1ca8d482503df83e35aae1add742cf572f01485,False,Uniswap V2: SAI 166,True
0x361f38831c1f9fe185efff0f1a0d3a1ec6f16c3d,False,Uniswap V2: BRIAN 9,True
0xb78e2f85160dd97323a9ab6c664c2bd76a04fd3c,False,Uniswap V2: DUHDGN 2,True
0xb3a1ef17d9a6719305c09661b369eff877cfa826,False,Uniswap V3: chairhead,True
0x7337d6bb0df1e4f55380cb4c9e34c7b95780b90c,False,Uniswap V3: TIME 8,True
0x0907d297b1d717e2c72e0c1f5efa2e1acea5e7ed,False,Uniswap V3: SpongeBob,True
0xccb365d2e11ae4d6d74715c680f56cf58bf4bf10,False,Wall Street pepe: WEPE Token,True
0x9cdf242ef7975d8c68d5c1f5b6905801699b1940,False,WhiteRock: WHITE Token,True
0x340d2bde5eb28c1eed91b2f790723e3b160613b7,False,Blockv: VEE Token,True
0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,False,Uniswap V2: SAITAMA,True
0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,False,Saitama Inu: Old SAITAMA Token,True
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,False,Uniswap V2: DAI,True
0x811beed0119b4afce20d2583eb608c6f7af1954f,False,Uniswap V2: SHIB,True
0x514910771af9ca656af840dff83e8264ecf986ca,False,Chainlink: LINK Token,True
0x11950d141ecb863f01007add7d1a342041227b58,False,Uniswap V3: PEPE 4,True
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,False,Uniswap V3: USDT,True
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,False,Uniswap V3: LINK,True
0xefd69f1ff464ed673dab856c5b9bca4d2847a74f,False,Uniswap V3: LAKE,True
0x5ee84bed805df225ee23aec4160cc0bfcf1bd892,False,Uniswap V3: μPPG,True
0xe72377ae353edc1d07f6c0be34969a481d030d19,False,Uniswap V3: μBAYC,True
0x92741be6adcb2722681925afce9af0a7306ce90f,False,Uniswap V3: μy00t,True
0x9e6be44cc1236eef7e1f197418592d363bedcd5a,False,Azuro Protocol: AZUR Token,True
0x60594a405d53811d3bc4766596efd80fd545a270,False,Uniswap V3: DAI 2,True
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,False,Uniswap V3: SHIB,True
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,False,Uniswap V3: USDT 9,True
0x0d0e364aa7852291883c162b22d6d81f6355428f,False,0x: Settler V1.7,True
0xeff6cb8b614999d130e537751ee99724d01aa167,False,,False
0xb02f39e382c90160eb816de5e0e428ac771d77b5,False,,False
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,False,,True
0x225a38bc71102999dd13478bfabd7c4d53f2dc17,False,,False
0x0330e9b4d0325ccff515e81dfbc7754f2a02ac57,False,,True
0x9a6f0891564325ab3846a50cf256a2fe7f1506da,False,,True
0x5dff25915d8652233cd5a8bf4498c2dac077d5f4,False,,False
0xf56e8f864653bba68d72621728c87e4efd44af78,False,Uniswap V2: trAIde,True
0xc0dda965e8545591b20832c010f4546c02970401,False,Uniswap V2: SHIBASTEIN 6,True
0xee1f8992de34aaf4abc6d7eca66ae5eb8a6c99a2,False,Uniswap V2: DEFAI,True
0xad1c6f589ff85efecd78284c76a3b7fe53b9cf22,False,Uniswap V2: BLINDEYE 17,True
0x6acb694888e5e313d68d4f431f2a2d905d9bbf0f,False,Uniswap V2: Ape Inu 2,True
0xfae8cba79a70441d4a53ec824c3483cfc9fcaf39,False,Uniswap V2: H100S,True
0xddeb011a4de06e33ba12ab01e146c28190420d1e,False,Uniswap V2: Babykishu 4,True
0x37a8f295612602f2774d331e562be9e61b83a327,False,,True
0xc1de0e023d1efe8e8df9d64508f8f4190562aa6f,False,,True
0x9328b7b9a935c8a9eb958468786faeb119649f6e,False,,False
0xd4f69d02ef082f612558588d103994a7e3cf29c9,False,,False
0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,False,,False
0x43ee35d5542f5b826fa92832bd97caff153675a8,False,,False
0xb043d0a7b49d74b836a4342a4a049c9e75172045,False,,True
0x7321ac264b89254ea749a0657d41a9a2ebf8e3da,False,,False
0x919f9173e2dc833ec708812b4f1cb11b1a17efde,False,,False
0xb56aaac80c931161548a49181c9e000a19489c44,False,,True
0x94981f69f7483af3ae218cbfe65233cc3c60d93a,False,Uniswap V3: RBN,True
0x6123b0049f904d730db3c36a31167d9d4121fa6b,False,Ribbon Finance: RBN Token,True
0x1c0ce9aaa0c12f53df3b4d8d77b82d6ad343b4e4,False,Uniswap V3: TOS-WTON,True
0x6bee0f0dea573ec04a77ff3547691f2edccf2a7c,False,Uniswap V3: BETA 3,True
0x2ad99c938471770da0cd60e08eaf29ebff67a92a,False,Uniswap V3: TOS,True
0x615d40af2c321bd0cd6345ae0a7fc1506a659a89,False,Uniswap V3: BRIGHT 2,True
0xbddd3a50bd2afd27aed05cc9fe1c8d67fcaa3218,False,Uniswap V3: TOS-AURA,True
0xc763b6b3d0f75167db95daa6a0a0d75dd467c4e1,False,Uniswap V3: GIV 3,True
0xbe1a001fe942f96eea22ba08783140b9dcc09d28,False,Beta Finance: BETA Token,True
0x4976fb03c32e5b8cfe2b6ccb31c09ba78ebaba41,False,ENS: Public Resolver 2,True
0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,False,Arbitrum: Delayed Inbox,True
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,False,ENS: Registry with Fallback,True
0x866e82a600a1414e583f7f13623f1ac5d58b0afa,False,,True
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,False,Uniswap V2: WBTC,True
0x7c8406384f7a5c147a6add16407803be146147e4,False,,True
0x6da3be5c443be54567128409f078ceaee08e9828,False,,False
0x509fde8900840c1f8900f3325c0000bdaa00b500,False,,False
0xfa244e8ee58197f0acdc2254358bdae3769b7b7a,False,,False
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,False,CryptoPunks:  Ͼ Token,True
0x9161000056093dc4a9d2001a7a00002f4a0064c0,False,,False
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,False,,True
